OBSS Remaining (slots),Radio Transition Time,TX Duration (slots),CW Index,Action,Action_Name,Q_Primary,Q_NPCA,Q_Diff,OBSS_Category,OBSS_Binned
25,1,33,2,0,Stay Primary,0.16433093,-0.61666906,-0.781,Low (11-30),20-29
38,1,165,5,0,Stay Primary,0.9590093,-5.145528,-6.104537,Medium (31-50),30-39
9,1,33,2,0,Stay Primary,0.24165818,-1.0573558,-1.299014,Very Low (0-10),0-9
41,1,165,0,0,Stay Primary,0.878746,-4.6881084,-5.5668545,Medium (31-50),40-49
90,1,33,3,1,Go NPCA,-0.8552809,1.5234439,2.3787248,High (51-100),80-89
70,1,165,3,0,Stay Primary,0.77804905,-4.1142383,-4.8922873,High (51-100),60-69
8,1,165,1,0,Stay Primary,1.0513862,-5.671983,-6.723369,Very Low (0-10),0-9
7,1,165,4,0,Stay Primary,1.095678,-5.9244,-7.0200777,Very Low (0-10),0-9
68,1,33,6,1,Go NPCA,-0.2829675,0.67066884,0.95363635,High (51-100),60-69
7,1,33,3,0,Stay Primary,0.26447698,-1.1873997,-1.4518768,Very Low (0-10),0-9
97,1,165,3,0,Stay Primary,0.64755934,-3.3705797,-4.018139,High (51-100),90-99
9,1,165,4,0,Stay Primary,1.086012,-5.8693137,-6.9553256,Very Low (0-10),0-9
22,1,165,2,0,Stay Primary,0.9968778,-5.3613396,-6.3582172,Low (11-30),20-29
97,1,33,4,1,Go NPCA,-1.104033,1.8940969,2.9981298,High (51-100),90-99
5,1,33,0,0,Stay Primary,0.23468427,-1.0176115,-1.2522957,Very Low (0-10),0-9
27,1,33,1,0,Stay Primary,0.14151216,-0.48662522,-0.62813735,Low (11-30),20-29
24,1,33,1,0,Stay Primary,0.15601103,-0.56925416,-0.7252652,Low (11-30),20-29
99,1,165,6,0,Stay Primary,0.6773521,-3.5403678,-4.21772,High (51-100),90-99
92,1,33,2,1,Go NPCA,-0.8825082,1.564014,2.4465222,High (51-100),90-99
32,1,33,2,0,Stay Primary,0.13050027,-0.42386875,-0.55436903,Medium (31-50),30-39
51,1,33,1,1,Go NPCA,0.031180784,0.14215136,0.11097057,High (51-100),50-59
62,1,165,5,0,Stay Primary,0.8430184,-4.4844975,-5.327516,High (51-100),60-69
32,1,165,3,0,Stay Primary,0.9617013,-5.160869,-6.1225705,Medium (31-50),30-39
96,1,33,6,1,Go NPCA,-1.141571,1.9500304,3.0916014,High (51-100),90-99
62,1,165,5,0,Stay Primary,0.8430184,-4.4844975,-5.327516,High (51-100),60-69
67,1,165,5,0,Stay Primary,0.8188536,-4.3467827,-5.165636,High (51-100),60-69
38,1,33,6,0,Stay Primary,0.15411405,-0.5584432,-0.71255726,Medium (31-50),30-39
8,1,33,1,0,Stay Primary,0.23333828,-1.0099407,-1.243279,Very Low (0-10),0-9
43,1,165,3,0,Stay Primary,0.90853864,-4.8578963,-5.766435,Medium (31-50),40-49
14,1,33,4,0,Stay Primary,0.24379918,-1.0695572,-1.3133564,Low (11-30),10-19
38,1,165,5,0,Stay Primary,0.9590093,-5.145528,-6.104537,Medium (31-50),30-39
1,1,165,3,0,Stay Primary,1.1115228,-6.0146995,-7.126222,Very Low (0-10),0-9
16,1,165,4,0,Stay Primary,1.0521812,-5.676513,-6.7286944,Low (11-30),10-19
61,1,165,5,0,Stay Primary,0.8478513,-4.51204,-5.3598914,High (51-100),60-69
8,1,165,6,0,Stay Primary,1.1171507,-6.0467725,-7.1639233,Very Low (0-10),0-9
35,1,165,5,0,Stay Primary,0.97350806,-5.228156,-6.201664,Medium (31-50),30-39
36,1,33,6,0,Stay Primary,0.16377994,-0.6135291,-0.77730906,Medium (31-50),30-39
71,1,165,6,0,Stay Primary,0.81267476,-4.3115697,-5.1242447,High (51-100),70-79
51,1,33,2,1,Go NPCA,0.038674165,0.09944671,0.060772542,High (51-100),50-59
1,1,33,6,0,Stay Primary,0.33293334,-1.5775312,-1.9104645,Very Low (0-10),0-9
29,1,33,1,0,Stay Primary,0.13184626,-0.4315395,-0.5633858,Low (11-30),20-29
16,1,165,3,0,Stay Primary,1.0390285,-5.601556,-6.6405845,Low (11-30),10-19
28,1,33,1,0,Stay Primary,0.1366792,-0.45908234,-0.59576154,Low (11-30),20-29
28,1,33,1,0,Stay Primary,0.1366792,-0.45908234,-0.59576154,Low (11-30),20-29
46,1,165,6,0,Stay Primary,0.9334985,-5.000142,-5.9336405,Medium (31-50),40-49
48,1,33,0,1,Go NPCA,0.031180784,0.14215136,0.11097057,Medium (31-50),40-49
91,1,165,0,0,Stay Primary,0.63709843,-3.3109632,-3.9480615,High (51-100),90-99
62,1,33,4,1,Go NPCA,-0.030778518,0.29489484,0.32567337,High (51-100),60-69
72,1,33,0,1,Go NPCA,-0.20101738,0.5485591,0.7495765,High (51-100),70-79
15,1,165,0,0,Stay Primary,1.0044029,-5.4042244,-6.4086275,Low (11-30),10-19
80,1,33,4,1,Go NPCA,-0.58273804,1.1173416,1.7000797,High (51-100),70-79
89,1,33,6,1,Go NPCA,-0.92692024,1.6301901,2.5571103,High (51-100),80-89
61,1,33,2,1,Go NPCA,0.031180784,0.14215136,0.11097057,High (51-100),60-69
49,1,165,6,0,Stay Primary,0.91899955,-4.917513,-5.8365126,Medium (31-50),40-49
90,1,165,0,0,Stay Primary,0.64193135,-3.3385057,-3.980437,High (51-100),80-89
17,1,165,0,0,Stay Primary,0.99473685,-5.3491383,-6.343875,Low (11-30),10-19
8,1,165,5,0,Stay Primary,1.1039978,-5.9718146,-7.0758123,Very Low (0-10),0-9
5,1,165,3,0,Stay Primary,1.092191,-5.904528,-6.9967194,Very Low (0-10),0-9
79,1,165,3,0,Stay Primary,0.73455244,-3.866352,-4.6009045,High (51-100),70-79
7,1,165,1,0,Stay Primary,1.0562193,-5.699526,-6.755745,Very Low (0-10),0-9
92,1,33,5,1,Go NPCA,-0.98481214,1.7164519,2.701264,High (51-100),90-99
66,1,33,1,1,Go NPCA,-0.051132366,0.3252231,0.37635547,High (51-100),60-69
75,1,33,3,1,Go NPCA,-0.39531454,0.83807147,1.233386,High (51-100),70-79
80,1,33,5,1,Go NPCA,-0.6168393,1.1681542,1.7849935,High (51-100),70-79
8,1,165,6,0,Stay Primary,1.1171507,-6.0467725,-7.1639233,Very Low (0-10),0-9
9,1,33,5,0,Stay Primary,0.28111678,-1.2822297,-1.5633464,Very Low (0-10),0-9
0,1,165,1,0,Stay Primary,1.0900501,-5.892327,-6.982377,Very Low (0-10),
64,1,165,2,0,Stay Primary,0.7938938,-4.2045374,-4.998431,High (51-100),60-69
63,1,33,0,1,Go NPCA,0.031180784,0.14215136,0.11097057,High (51-100),60-69
72,1,165,6,0,Stay Primary,0.8078418,-4.2840266,-5.0918684,High (51-100),70-79
64,1,33,6,1,Go NPCA,-0.16030991,0.487903,0.6482129,High (51-100),60-69
40,1,165,4,0,Stay Primary,0.9361905,-5.015484,-5.9516745,Medium (31-50),30-39
42,1,33,3,0,Stay Primary,0.095323615,-0.22339752,-0.31872115,Medium (31-50),40-49
65,1,165,2,0,Stay Primary,0.7890609,-4.176995,-4.966056,High (51-100),60-69
60,1,33,6,1,Go NPCA,0.020936197,0.20053509,0.1795989,High (51-100),50-59
12,1,33,5,0,Stay Primary,0.26661792,-1.1996009,-1.4662188,Low (11-30),10-19
74,1,33,2,1,Go NPCA,-0.3305489,0.7415675,1.0721164,High (51-100),70-79
79,1,165,3,0,Stay Primary,0.73455244,-3.866352,-4.6009045,High (51-100),70-79
22,1,33,5,0,Stay Primary,0.2182884,-0.9241718,-1.1424602,Low (11-30),20-29
6,1,33,5,0,Stay Primary,0.29561567,-1.3648586,-1.6604743,Very Low (0-10),0-9
62,1,165,3,0,Stay Primary,0.8167127,-4.3345814,-5.151294,High (51-100),60-69
2,1,33,1,0,Stay Primary,0.26233596,-1.1751981,-1.4375341,Very Low (0-10),0-9
12,1,33,3,0,Stay Primary,0.2403122,-1.049685,-1.2899972,Low (11-30),10-19
33,1,33,3,0,Stay Primary,0.1388202,-0.47128388,-0.6101041,Medium (31-50),30-39
93,1,165,3,0,Stay Primary,0.66689116,-3.4807513,-4.1476426,High (51-100),90-99
67,1,33,2,1,Go NPCA,-0.11589801,0.4217271,0.5376251,High (51-100),60-69
39,1,165,5,0,Stay Primary,0.9541763,-5.1179843,-6.0721607,Medium (31-50),30-39
84,1,33,5,1,Go NPCA,-0.73949695,1.3509201,2.090417,High (51-100),80-89
37,1,33,3,0,Stay Primary,0.11948839,-0.36111215,-0.48060054,Medium (31-50),30-39
56,1,165,5,0,Stay Primary,0.8720161,-4.6497545,-5.5217705,High (51-100),50-59
72,1,33,0,1,Go NPCA,-0.20101738,0.5485591,0.7495765,High (51-100),70-79
69,1,165,2,0,Stay Primary,0.7697291,-4.066823,-4.836552,High (51-100),60-69
89,1,165,3,0,Stay Primary,0.6862229,-3.5909228,-4.277146,High (51-100),80-89
19,1,165,0,0,Stay Primary,0.985071,-5.294053,-6.2791243,Low (11-30),10-19
18,1,33,5,0,Stay Primary,0.23762025,-1.0343436,-1.2719638,Low (11-30),10-19
73,1,33,5,1,Go NPCA,-0.40218842,0.8483139,1.2505023,High (51-100),70-79
16,1,33,1,0,Stay Primary,0.19467464,-0.7895973,-0.9842719,Low (11-30),10-19
87,1,165,5,0,Stay Primary,0.72219455,-3.7959247,-4.5181193,High (51-100),80-89
59,1,165,5,0,Stay Primary,0.8575172,-4.567126,-5.424643,High (51-100),50-59
61,1,165,1,0,Stay Primary,0.7952398,-4.2122083,-5.007448,High (51-100),60-69
64,1,165,3,0,Stay Primary,0.8070467,-4.2794957,-5.0865426,High (51-100),60-69
57,1,33,2,1,Go NPCA,0.031180784,0.14215136,0.11097057,High (51-100),50-59
58,1,33,2,1,Go NPCA,0.031180784,0.14215136,0.11097057,High (51-100),50-59
69,1,33,6,1,Go NPCA,-0.31363186,0.7163603,1.0299921,High (51-100),60-69
20,1,165,0,0,Stay Primary,0.980238,-5.2665095,-6.2467475,Low (11-30),10-19
3,1,165,2,0,Stay Primary,1.088704,-5.8846555,-6.9733596,Very Low (0-10),0-9
50,1,165,6,0,Stay Primary,0.91416675,-4.889971,-5.8041377,Medium (31-50),40-49
57,1,33,3,1,Go NPCA,0.031180784,0.14215136,0.11097057,High (51-100),50-59
